left,right,distance,size
6.900000000000000000e+01,1.430000000000000000e+02,1.462309999999999999e+00,2.000000000000000000e+00
8.200000000000000000e+01,1.520000000000000000e+02,2.429859000000000435e+00,3.000000000000000000e+00
8.600000000000000000e+01,1.440000000000000000e+02,2.577728000000000019e+00,2.000000000000000000e+00
1.320000000000000000e+02,1.330000000000000000e+02,2.689778000000000002e+00,2.000000000000000000e+00
9.200000000000000000e+01,1.540000000000000000e+02,2.971762000000000015e+00,3.000000000000000000e+00
7.900000000000000000e+01,8.900000000000000000e+01,3.209559000000000051e+00,2.000000000000000000e+00
1.070000000000000000e+02,1.100000000000000000e+02,3.581463999999999981e+00,2.000000000000000000e+00
8.000000000000000000e+01,1.530000000000000000e+02,3.743532000000000082e+00,4.000000000000000000e+00
5.600000000000000000e+01,8.500000000000000000e+01,4.163907000000000025e+00,2.000000000000000000e+00
9.600000000000000000e+01,9.700000000000000000e+01,4.249159999999999826e+00,2.000000000000000000e+00
7.100000000000000000e+01,1.030000000000000000e+02,4.254360000000000142e+00,2.000000000000000000e+00
6.700000000000000000e+01,7.000000000000000000e+01,4.306384000000000434e+00,2.000000000000000000e+00
7.800000000000000000e+01,1.000000000000000000e+02,4.337193000000000076e+00,2.000000000000000000e+00
6.800000000000000000e+01,1.060000000000000000e+02,4.356138999999999761e+00,2.000000000000000000e+00
6.000000000000000000e+01,1.560000000000000000e+02,4.498109333333332849e+00,4.000000000000000000e+00
6.200000000000000000e+01,7.500000000000000000e+01,4.736583999999999683e+00,2.000000000000000000e+00
1.290000000000000000e+02,1.650000000000000000e+02,4.831808500000000173e+00,3.000000000000000000e+00
1.300000000000000000e+02,1.380000000000000000e+02,4.841471000000000302e+00,2.000000000000000000e+00
9.100000000000000000e+01,9.500000000000000000e+01,4.866464999999999819e+00,2.000000000000000000e+00
8.300000000000000000e+01,1.600000000000000000e+02,4.936538000000000537e+00,3.000000000000000000e+00
1.640000000000000000e+02,1.670000000000000000e+02,4.996814249999999902e+00,4.000000000000000000e+00
1.240000000000000000e+02,1.350000000000000000e+02,5.028089999999999726e+00,2.000000000000000000e+00
1.580000000000000000e+02,1.710000000000000000e+02,5.149868666666666428e+00,5.000000000000000000e+00
1.080000000000000000e+02,1.690000000000000000e+02,5.150250999999999912e+00,3.000000000000000000e+00
8.100000000000000000e+01,1.660000000000000000e+02,5.233860749999999840e+00,5.000000000000000000e+00
7.200000000000000000e+01,1.720000000000000000e+02,5.367298250000000159e+00,5.000000000000000000e+00
7.700000000000000000e+01,1.570000000000000000e+02,5.463876499999999581e+00,3.000000000000000000e+00
5.800000000000000000e+01,1.740000000000000000e+02,5.488870600000000266e+00,6.000000000000000000e+00
1.130000000000000000e+02,1.750000000000000000e+02,5.521099999999999675e+00,4.000000000000000000e+00
