Position_RLMC,Code,R2_Score,Position_Originale
1,B3WFV2,0.013259421859188407,14
2,H9G343,0.009114272210708572,46
3,P0DM64,0.008739187514325498,77
4,A0AAJ7TMY1,0.008592968610979778,6
5,Q21978,0.008544092112307704,100
6,Q4H3K6,0.008302048576045096,108
7,Q21618,0.007194344741277332,99
8,G5EF00,0.007091929704039657,44
9,A8MTQ0,0.006734541008736253,11
10,D0VWM4,0.005974408814033961,21
11,F2Q9X7,0.005661593847707876,34
12,Q17134,0.005659969889017494,90
13,O62089,0.005454612283109779,50
14,A0AAJ7T5N9,0.005415269141838628,5
15,Q24570,0.0051810654377671085,103
16,Q90259,0.005178229331888144,130
17,Q20623,0.005163020393410923,97
18,Q9GYP4,0.0051625947311828065,144
19,Q7KLI1,0.004968383388217331,118
20,A0A0K3AT43,0.004898678410382553,2
21,O42145,0.004855409212375658,48
22,Q9U2R5,0.00478554394584467,150
23,C1P638,0.004754865684113872,18
24,C3YWU0,0.0047498168487599066,20
25,A0AVK6,0.004707381277534018,8
26,A0A2H4ZEZ2,0.004650102838586258,3
27,A3RMS5,0.004581297777320152,10
28,E1NZ07,0.0045521842943630425,22
29,Q966A3,0.0044282628022289175,137
30,Q09240,0.0043081228436602295,88
31,Q09514,0.004282477278376538,89
32,A8UWQ7,0.0042792596070246654,12
33,F6U472,0.004257442191527821,37
34,A0A0A8WJC6,0.004229896085983352,1
35,A3KNI8,0.004202473835606457,9
36,A0AAJ7U215,0.004201040970887631,7
37,B3GWE1,0.004179676296959698,13
38,B6EU61,0.004146354320852009,15
39,F2Q9W6,0.004071627760827551,23
40,F2Q9W8,0.00406340127731417,25
41,C3Y097,0.004061121893027878,19
42,C0HJZ3,0.00402982480891386,16
43,C0HJZ4,0.004022220290649673,17
44,F2Q9W7,0.00401337210244873,24
45,O47431,0.00396220971003743,49
46,F2Q9W9,0.003961436375870092,26
47,F2Q9X1,0.003950035937154456,28
48,F2Q9X0,0.003939075299282314,27
49,F2Q9X8,0.003921228386386599,35
