,A0A0A8WJC6,A0A0K3AT43,A0A2H4ZEZ2,A0AAJ7SV95,A0AAJ7T5N9,A0AAJ7TMY1,A0AAJ7U215,A0AVK6,A3KNI8,A3RMS5,A8MTQ0,A8UWQ7,B3GWE1,B3WFV2,B6EU61,C0HJZ3,C0HJZ4,C1P638,C3Y097,C3YWU0,D0VWM4,E1NZ07,F2Q9W6,F2Q9W7,F2Q9W8,F2Q9W9,F2Q9X0,F2Q9X1,F2Q9X2,F2Q9X3,F2Q9X4,F2Q9X5,F2Q9X6,F2Q9X7,F2Q9X8,F2Q9Y0,F6U472,F6WII6,F6WYU4,F6YMJ4,F6YXK6,F7GH03,G3UZ78,G5EF00,G5EGB6,H9G343,O17824,O42145,O47431,O62089,O76629,O93548,P01942,P01994,P02001,P02007,P02008,P02042,P02088,P02089,P02100,P02104,P02112,P02127,P02128,P02144,P02197,P02208,P02762,P04247,P04443,P04444,P06467,P09105,P09967,P09968,P0DM64,P20244,P20245,P30627,P48798,P49141,P61802,P68871,P69891,P69892,P69905,Q09240,Q09514,Q17134,Q17727,Q17884,Q18086,Q18311,Q19601,Q20015,Q20623,Q20638,Q21618,Q21978,Q22663,Q23117,Q24570,Q2WG80,Q2XNF5,Q3KN63,Q3MQ62,Q4H3K6,Q4V6L1,Q575S8,Q5QSB1,Q6B0K9,Q6VN46,Q70PH6,Q70T62,Q70T63,Q70T64,Q7KLI1,Q7TPG1,Q7YWV3,Q7YZV1,Q7ZT21,Q8AXK2,Q8HY34,Q8MPY8,Q8N7X0,Q8UUR3,Q8WWM9,Q8WY91,Q90259,Q90485,Q90486,Q90487,Q90864,Q90YJ2,Q95J88,Q966A3,Q98980,Q9CQE0,Q9CX80,Q9DDJ0,Q9ER97,Q9GL60,Q9GYP4,Q9I7P6,Q9I9I3,Q9NL48,Q9NPG2,Q9PVD5,Q9U2R5,Q9VNE2,Q9XXI2
A0A0A8WJC6,0.0,0.09581488,0.17344761,0.05364448,0.027972698,0.023122549,0.012040198,0.07251674,0.030668676,0.022460282,0.12863344,0.07379103,0.018563032,0.047183514,0.02888,0.027386546,0.031866193,0.020984888,0.022522748,0.072505236,0.024120748,0.053708553,0.020218134,0.036287665,0.03490472,0.029850781,0.0159626,0.019779086,0.042454362,0.010509431,0.022761583,0.028066695,0.066367924,0.19104135,0.017814577,0.021609008,0.39671922,0.018077075,0.013582289,0.022258341,0.031082034,0.017055154,0.031983256,0.02624327,0.025746226,0.05053848,0.034054518,0.16849107,0.09594065,0.041471303,0.02600354,0.018396199,0.028462648,0.017313778,0.021533608,0.018450737,0.019179821,0.024954796,0.018487275,0.01948458,0.016749263,0.018472731,0.009243727,0.010625362,0.009788871,0.030643582,0.0395301,0.029085934,0.07130873,0.024315417,0.012776613,0.010376036,0.018378437,0.028260946,0.019719005,0.029262066,0.064695895,0.05177456,0.04484749,0.02849567,0.03724438,0.07993877,0.103845716,0.029522896,0.014561653,0.0125207305,0.03288138,0.022333443,0.026773274,0.075425565,0.029928446,0.056572437,0.044729054,0.018719792,0.029816031,0.030286431,0.023987114,0.025609195,0.08646548,0.05130011,0.020786762,0.0333305,0.116877735,0.08099586,0.04080051,0.020575047,0.023828745,0.13594145,0.019946098,0.014021754,0.021817505,0.039521694,0.03560233,0.067970276,0.016084969,0.02015841,0.019013166,0.06288153,0.09664619,0.03214699,0.03344375,0.019379675,0.25382388,0.018062472,0.044674337,0.03874755,0.015460789,0.010194302,0.07952058,0.130638,0.0111938715,0.0115430355,0.018589973,0.009089351,0.0145789385,0.09676349,0.026806831,0.26043588,0.1011157,0.008078098,0.036376297,0.03082937,0.034941435,0.031182528,0.0314399,0.026767373,0.07960421,0.023000777,0.13228333,0.024644077,0.032545924,0.021154106
A0A0K3AT43,0.09581488,0.0,0.260508,0.109568,0.09659761,0.11689055,0.118036926,0.124673486,0.10182989,0.0783059,0.17633927,0.112510085,0.075311065,0.08672625,0.07763499,0.1218667,0.12893969,0.07568377,0.095923066,0.12493616,0.08390677,0.08646113,0.09885055,0.092734456,0.11244774,0.13080478,0.102562726,0.102386,0.16402018,0.090510964,0.11964136,0.14281899,0.20021003,0.22534257,0.08046329,0.1279766,0.35645294,0.11864251,0.11359185,0.122740805,0.09200913,0.110320926,0.103180826,0.07252377,0.10302478,0.09815413,0.106132865,0.14487028,0.1190024,0.082078636,0.08588159,0.12365675,0.13973558,0.1200766,0.12632263,0.11112952,0.11513215,0.13551944,0.12679327,0.13140452,0.12647182,0.12128317,0.09277278,0.08473033,0.08093214,0.14960313,0.1623519,0.13537335,0.11428225,0.13968414,0.11789465,0.11000997,0.09794438,0.121284306,0.121802926,0.13434511,0.08721197,0.13687414,0.1306153,0.107519746,0.10624868,0.12924653,0.14203769,0.14723128,0.12217045,0.118324995,0.1421451,0.0759694,0.10518187,0.11406481,0.07943976,0.082018435,0.08994645,0.08733404,0.08564049,0.06529802,0.08307177,0.071272016,0.12753153,0.08134276,0.08997589,0.0633719,0.1353575,0.10165304,0.07502353,0.0823915,0.11289847,0.11307609,0.08345592,0.08866799,0.106327355,0.13552332,0.16808414,0.08745688,0.09993178,0.086622655,0.11128843,0.07502085,0.12090236,0.075873554,0.06977785,0.1311931,0.26670152,0.11847776,0.0886268,0.10564363,0.09532362,0.101554096,0.13868254,0.14789933,0.09395367,0.0950492,0.13115674,0.10076052,0.085986495,0.11646807,0.07603729,0.09672165,0.10621476,0.09679747,0.12201637,0.10264748,0.08272916,0.08879167,0.08601028,0.13035643,0.11117488,0.1017074,0.13606203,0.079239786,0.11376959,0.06639993
A0A2H4ZEZ2,0.17344761,0.260508,0.0,0.19446564,0.16869009,0.14382726,0.15718657,0.19067919,0.1924206,0.18498617,0.26674634,0.1807856,0.1817829,0.18859386,0.18569976,0.16158128,0.1588555,0.19630301,0.17914772,0.19394922,0.16434032,0.19547659,0.14897633,0.18130606,0.17128372,0.1327452,0.1600939,0.17449212,0.13850111,0.17879403,0.1496405,0.14775711,0.1368444,0.33314252,0.19388229,0.14727598,0.43464702,0.14540726,0.15541184,0.15368521,0.1917004,0.16212499,0.1660651,0.1923551,0.15710652,0.19076264,0.16299331,0.29353905,0.20588851,0.1911841,0.17810082,0.15397775,0.1659112,0.1588391,0.14454484,0.1671511,0.16826206,0.14447445,0.1502837,0.14806491,0.147497,0.14774644,0.17726856,0.18404996,0.19044352,0.1472668,0.14268786,0.15074277,0.17986375,0.14957178,0.15201938,0.15631491,0.17371291,0.1944555,0.15428096,0.14838165,0.195625,0.21014625,0.20423084,0.16620553,0.18840855,0.18617463,0.22745752,0.1469785,0.14773214,0.14862818,0.16008878,0.19232768,0.15955949,0.18553329,0.20196772,0.20897812,0.18648559,0.15446794,0.19628215,0.20397586,0.16592836,0.18013716,0.16350842,0.19981617,0.18600011,0.22284442,0.23124832,0.24297279,0.19776738,0.19645268,0.163629,0.2644856,0.17364866,0.17302442,0.18008083,0.1845122,0.13588488,0.20123863,0.16323131,0.17369771,0.15846169,0.22426409,0.2373749,0.20289207,0.1923393,0.15829396,0.34752858,0.1612714,0.1952954,0.16964614,0.17057395,0.16544127,0.19028068,0.25096846,0.1694063,0.16977328,0.1484608,0.17355877,0.18736768,0.23401225,0.19442248,0.3511824,0.24371195,0.1680398,0.18873328,0.1978656,0.18773776,0.16586822,0.1976338,0.15100336,0.18169433,0.18933427,0.25972694,0.20545775,0.16551882,0.19131702
A0AAJ7SV95,0.05364448,0.109568,0.19446564,0.0,0.03265679,0.04535657,0.0586071,0.047985375,0.052063107,0.061469972,0.06269187,0.110538185,0.06331468,0.053643465,0.046646178,0.07846707,0.08740878,0.058803916,0.047385275,0.09609401,0.047159374,0.043622494,0.062238574,0.06766021,0.07972652,0.06698167,0.05898398,0.063895166,0.09625924,0.05982822,0.07390523,0.078878164,0.12441832,0.12917817,0.05023521,0.06330949,0.367855,0.06566346,0.057499588,0.074552596,0.025026143,0.06727785,0.043079793,0.039948344,0.07012099,0.053593576,0.06689042,0.16518116,0.12169433,0.04651183,0.06581652,0.0684548,0.06497455,0.060114145,0.068434775,0.064426064,0.068491995,0.06888664,0.062865496,0.06847155,0.069769084,0.06644249,0.050400853,0.058921456,0.053539455,0.083783984,0.10071945,0.08498609,0.0803166,0.08017284,0.06561351,0.06450963,0.062253118,0.05159849,0.07489669,0.08576614,0.040219307,0.09151447,0.08638185,0.07610595,0.03654927,0.08352959,0.09026098,0.07536,0.06464046,0.061600804,0.0755437,0.04373616,0.062164903,0.06879419,0.033861578,0.05990815,0.04126215,0.05457467,0.034049332,0.051061153,0.04857099,0.052585483,0.08962095,0.04515171,0.058257937,0.050284743,0.07824892,0.046520233,0.053531647,0.04552722,0.06616789,0.10933435,0.053305984,0.049609303,0.041900873,0.069321096,0.08843815,0.09142381,0.061811566,0.05988401,0.06819868,0.07089025,0.10706431,0.047067225,0.041735888,0.065300226,0.23884672,0.059810877,0.038016498,0.040620446,0.05031389,0.04362458,0.030179203,0.10420179,0.054593027,0.054460227,0.07227534,0.054041922,0.04849255,0.10278565,0.04055655,0.24495167,0.088961124,0.045391083,0.07011163,0.051095426,0.045174003,0.043082893,0.061313927,0.0811975,0.09975499,0.04416281,0.11397904,0.03692442,0.070213795,0.046245456
A0AAJ7T5N9,0.027972698,0.09659761,0.16869009,0.03265679,0.0,0.026274621,0.036916435,0.053529143,0.038090944,0.03201127,0.09350324,0.09339398,0.031811357,0.038564086,0.018771827,0.044194043,0.051435053,0.032179594,0.02824086,0.07369822,0.025898159,0.030983508,0.034319043,0.05449313,0.047358453,0.041450262,0.03069216,0.03528577,0.068755805,0.03320664,0.04124564,0.05552894,0.09455401,0.16220379,0.026708841,0.04045707,0.40795124,0.044083774,0.03315133,0.04548967,0.02399689,0.038680017,0.033682227,0.027079105,0.03701186,0.045229435,0.04012847,0.17316538,0.1105572,0.030655742,0.033056617,0.03930545,0.0492543,0.041499376,0.0362491,0.037813246,0.04280734,0.042131722,0.040276766,0.04433757,0.043195724,0.04047686,0.025251448,0.028909862,0.025755465,0.058522165,0.068259,0.053056657,0.06789988,0.052462697,0.03737676,0.03729725,0.036099494,0.03697282,0.04189706,0.05383444,0.04578525,0.07584256,0.07019508,0.039570212,0.031636596,0.08621359,0.09842324,0.05067706,0.038832188,0.036884665,0.05368793,0.02440381,0.031577766,0.050687313,0.023305833,0.041198254,0.031088948,0.023589551,0.021933913,0.030459225,0.025778651,0.0276258,0.07478535,0.03925532,0.028946996,0.0324049,0.065072596,0.05409503,0.039216638,0.023214698,0.044154346,0.11788452,0.03249812,0.025116622,0.026565552,0.03974563,0.06463516,0.064442515,0.036904693,0.03780043,0.04569602,0.057608664,0.10464561,0.033325076,0.02777934,0.044441402,0.26165533,0.038592577,0.03046745,0.036204457,0.017766893,0.019206703,0.046358168,0.09187263,0.027050793,0.026390493,0.049227,0.02940774,0.028486311,0.087634504,0.020531356,0.25409532,0.074908495,0.019177914,0.04423201,0.039016545,0.031227231,0.021463275,0.03841889,0.049874067,0.08680445,0.028681695,0.12099159,0.027652383,0.0454911,0.02665019
A0AAJ7TMY1,0.023122549,0.11689055,0.14382726,0.04535657,0.026274621,0.0,0.019744813,0.05571431,0.030062675,0.03778541,0.11647469,0.090536535,0.032952964,0.03621471,0.039042234,0.030824423,0.034770787,0.031582236,0.025609732,0.07924104,0.020926774,0.043747306,0.026752293,0.05277735,0.041799366,0.028174043,0.018823326,0.029870033,0.036637902,0.033660233,0.023804724,0.029006898,0.057273567,0.1812656,0.028755128,0.030143142,0.4136722,0.026700437,0.025073469,0.02442044,0.03769517,0.025427103,0.030294001,0.03678584,0.030977666,0.039959013,0.022063673,0.1922096,0.10879195,0.028327465,0.03460002,0.02578473,0.02989328,0.022699594,0.02635014,0.02237004,0.025103569,0.027366102,0.024151623,0.024701118,0.025950849,0.026317775,0.025107801,0.030712605,0.028313756,0.038853526,0.043962777,0.026398897,0.06377441,0.031991184,0.026025057,0.02728945,0.03006357,0.03921199,0.023887038,0.027717173,0.05375415,0.07597798,0.06867629,0.033289135,0.03367871,0.07623112,0.093818724,0.029746294,0.024412692,0.023679554,0.03088975,0.02852428,0.021189034,0.06504446,0.03885007,0.054766297,0.03694272,0.02018565,0.025070727,0.04215789,0.021213353,0.02864331,0.06717521,0.04582888,0.02993226,0.043444395,0.10296869,0.07615167,0.059048116,0.0445984,0.024027944,0.14036918,0.023563623,0.024720788,0.031642854,0.047945797,0.034202397,0.071445584,0.027924895,0.03739673,0.02445507,0.07461691,0.1085462,0.036026716,0.039931297,0.022754014,0.2622571,0.024510503,0.042570055,0.03664261,0.024594009,0.015641093,0.0584684,0.11639714,0.024911642,0.023628056,0.022530556,0.026012361,0.031548083,0.097344875,0.03385389,0.2854731,0.10264963,0.015126228,0.034984052,0.03838271,0.04723555,0.018897712,0.03924024,0.025367737,0.08248913,0.032658935,0.14521462,0.034342527,0.03608632,0.03316611
A0AAJ7U215,0.012040198,0.118036926,0.15718657,0.0586071,0.036916435,0.019744813,0.0,0.07789034,0.018828034,0.028101623,0.13646114,0.076821566,0.029290974,0.055989265,0.048569858,0.029589713,0.034812808,0.026255846,0.027900815,0.07064396,0.028291643,0.06628972,0.016468227,0.050519288,0.02148801,0.019662082,0.01183176,0.019651592,0.03397566,0.02695793,0.014398813,0.024973452,0.06294376,0.1915344,0.018792093,0.02664107,0.4088496,0.017260551,0.019813657,0.019482315,0.039719105,0.015429378,0.038324416,0.039305866,0.02311021,0.06253958,0.026411116,0.1942653,0.09868389,0.046949983,0.021382272,0.018389761,0.036476076,0.018276453,0.0150693655,0.015307188,0.017722666,0.02181089,0.0176242,0.017675757,0.020971775,0.01748091,0.016279757,0.023618639,0.023459256,0.025175035,0.032943666,0.026948512,0.055657506,0.019056201,0.014973223,0.015501738,0.015627384,0.033569634,0.025290072,0.028139293,0.068129,0.065496504,0.057484508,0.020747244,0.040685177,0.08865112,0.10334343,0.025165081,0.018028378,0.01597023,0.03815335,0.031129122,0.0245623,0.08601135,0.045677543,0.06824696,0.054640055,0.01886636,0.038610697,0.04169166,0.028465033,0.03251803,0.08930701,0.06151396,0.030374765,0.04577905,0.12707269,0.09111464,0.054505467,0.032510996,0.0104058385,0.14818645,0.019320607,0.017001688,0.016666353,0.04028195,0.028398037,0.08091557,0.0141862035,0.01978296,0.008657098,0.074395,0.09621632,0.03931099,0.043809593,0.014851749,0.2508301,0.02270782,0.054682016,0.044100285,0.016244292,0.0140372515,0.085657775,0.14347506,0.019828677,0.01837188,0.014114082,0.016795158,0.01946485,0.11287993,0.038058817,0.2891593,0.10961318,0.01261735,0.030525148,0.023355782,0.046264887,0.03770256,0.033072293,0.024208188,0.08603734,0.020381272,0.14507216,0.036165774,0.019696116,0.031980276
A0AVK6,0.07251674,0.124673486,0.19067919,0.047985375,0.053529143,0.05571431,0.07789034,0.0,0.06747484,0.06384802,0.101453304,0.12058699,0.05876118,0.035574794,0.051393747,0.09498423,0.0973351,0.06454837,0.065425634,0.10850626,0.044163108,0.032717228,0.066604376,0.086245835,0.09133613,0.08149332,0.07075524,0.07089996,0.11331898,0.08222002,0.08545542,0.0966596,0.13434952,0.181773,0.06301147,0.07958919,0.3994441,0.066607475,0.0711779,0.07857549,0.042176127,0.071476996,0.03354484,0.04470998,0.07276982,0.045644462,0.05939114,0.20050484,0.12975991,0.037352026,0.07683247,0.08262026,0.08842486,0.07767111,0.07993716,0.069232285,0.07811582,0.08780837,0.08058566,0.083013356,0.07841319,0.07178432,0.06690949,0.06436682,0.06763786,0.09162003,0.10679567,0.08478373,0.08927059,0.08519441,0.07676047,0.07242125,0.06909108,0.0847826,0.07474208,0.08343148,0.055121005,0.10785407,0.103109,0.082886875,0.06137705,0.102659345,0.067626,0.09590465,0.07327533,0.069557905,0.09661466,0.053476095,0.056464612,0.04534787,0.041561782,0.05381733,0.028806746,0.05729091,0.043204308,0.05584544,0.04460597,0.055709362,0.05480784,0.03050673,0.062004805,0.054249108,0.08553904,0.06937659,0.06704867,0.05706799,0.07065606,0.13145494,0.056641936,0.05977893,0.0670681,0.10052389,0.105520666,0.0793795,0.06347245,0.072746634,0.07441634,0.07938075,0.12667352,0.049622,0.03674835,0.07869309,0.27806973,0.06864661,0.032425404,0.02607125,0.062397003,0.06363559,0.033535838,0.0920254,0.06902766,0.07189417,0.0771243,0.07033688,0.057697594,0.10092157,0.040156603,0.2798313,0.08509016,0.06214857,0.07980198,0.071175694,0.071546376,0.04749608,0.057597518,0.080601454,0.11325753,0.07005751,0.14776301,0.050342023,0.06990051,0.05221939
A3KNI8,0.030668676,0.10182989,0.1924206,0.052063107,0.038090944,0.030062675,0.018828034,0.06747484,0.0,0.032881618,0.121251225,0.087877095,0.033524215,0.04652971,0.055422068,0.053768158,0.062309265,0.02897346,0.03410971,0.079601884,0.02878189,0.056221664,0.029917777,0.05522847,0.03421223,0.03450334,0.025112689,0.028187156,0.06605619,0.048495114,0.038130283,0.056132674,0.10718745,0.15374768,0.016628385,0.05252695,0.42144352,0.038083553,0.042947233,0.042623818,0.036551535,0.031938672,0.04278046,0.042037487,0.03740239,0.062114418,0.03035736,0.20060736,0.10416311,0.038066626,0.025447488,0.04013568,0.06307244,0.036976278,0.037976444,0.028950632,0.03532076,0.049433053,0.04290831,0.044706583,0.051152527,0.04367709,0.028345525,0.038579106,0.035488546,0.05065775,0.063218236,0.053454757,0.05684948,0.0442456,0.04243368,0.04107535,0.02518028,0.048068583,0.05067551,0.05664426,0.053431213,0.09807062,0.08784062,0.03202516,0.035445333,0.107149124,0.10346401,0.05583626,0.04559064,0.042207062,0.067151785,0.02780956,0.032182157,0.0790509,0.043168664,0.056572974,0.046301663,0.024518907,0.032883346,0.034373105,0.029153407,0.03412777,0.0830245,0.05394894,0.03213322,0.033753514,0.10539168,0.072900236,0.055119872,0.035546184,0.022468507,0.1463142,0.01870346,0.022863448,0.022876978,0.058725893,0.05898565,0.074955106,0.030916452,0.023829103,0.019539177,0.081706464,0.09580153,0.027379334,0.032360733,0.037301064,0.25559062,0.043937087,0.046040833,0.045967042,0.027787387,0.025241971,0.07958406,0.14124048,0.032557726,0.031332195,0.037600875,0.032901227,0.028853893,0.1067003,0.029451728,0.28577018,0.097955465,0.024348736,0.032886863,0.01599282,0.04590726,0.04002905,0.025092542,0.049128056,0.10116148,0.020773172,0.14953691,0.02865243,0.024347425,0.027236164
A3RMS5,0.022460282,0.0783059,0.18498617,0.061469972,0.03201127,0.03778541,0.028101623,0.06384802,0.032881618,0.0,0.14880115,0.0823068,0.010716081,0.038294315,0.02369231,0.04523486,0.04935932,0.010598242,0.029909909,0.080452085,0.018155038,0.04421413,0.02154702,0.045771956,0.023901522,0.041603923,0.022460282,0.022567391,0.06849283,0.02822268,0.030868411,0.053334773,0.10084289,0.19297332,0.013706803,0.041781366,0.39336437,0.036026597,0.031152606,0.039877594,0.034443438,0.029652953,0.0286116,0.018929303,0.023570478,0.055383027,0.028245568,0.16783702,0.09598833,0.034160376,0.011751831,0.039774,0.06331259,0.03939855,0.038623273,0.03426093,0.039133728,0.0485276,0.042116404,0.045786798,0.04008758,0.036732376,0.022402823,0.018668234,0.021109998,0.04916358,0.059086442,0.04878992,0.05018282,0.040376723,0.031318784,0.02637726,0.021545827,0.056143105,0.04121095,0.04807222,0.048776984,0.06402898,0.054533184,0.026222348,0.046571136,0.09117371,0.087426186,0.057516158,0.03583312,0.031765163,0.06439674,0.016824484,0.022907317,0.06768829,0.028853357,0.0426808,0.039751947,0.016678989,0.030570686,0.0121359825,0.017617643,0.01336956,0.07418662,0.037891567,0.025483072,0.02228117,0.09733212,0.0636279,0.037563205,0.02303207,0.027290463,0.11976731,0.017071664,0.0154025555,0.03058368,0.056367457,0.06983149,0.058772624,0.02457279,0.021362305,0.028072298,0.039442837,0.08827728,0.020573676,0.026318371,0.0436489,0.26250702,0.04096365,0.03951472,0.0331375,0.017387807,0.026200712,0.086003065,0.11739749,0.022806525,0.025167108,0.042120397,0.02652198,0.01705134,0.09139192,0.0189327,0.25879884,0.08511263,0.021205604,0.04421401,0.041160166,0.0389449,0.03076148,0.023230016,0.044381976,0.08278513,0.03810799,0.13278067,0.027151108,0.02353549,0.013221264
